"產品編號","產品名稱","倉庫","庫存數量"
CA-MS-0033,"微星 PRO FORGE M050A 機殼","大雅門市",2
CO-MS-0026,"微星 MAG CORELIQUID A13 360","大雅門市",1
KB-MS-0011,"微星 VIGOR GK30 COMBO 鍵鼠 黑","大雅門市",1
LC-MS-0040,"微星 PRO MP251 E2 25吋螢幕","大雅門市",1
MB-MS-0029,"微星 A520M-A PRO 主機板","大雅門市",2
MB-MS-0037,"微星 B650M GAMING PLUS WIFI D5","大雅門市",1
MI-MS-0004,"微星 H991 GAMING HEADSET 耳麥","大雅門市",1
MP-MS-0004,"微星 CLUTCH GM08 電競滑鼠","大雅門市",1
MP-MS-0006,"微星 VERSA 300 WIRELESS 滑鼠","大雅門市",1
MP-MS-0008,"微星 AGILITY GD60 電競滑鼠墊","大雅門市",1
PO-MS-0002,"微星 MAG A550BN 電源供應器","大雅門市",5
PO-MS-0008,"微星MAG A850GL PCIE5電源供應器","大雅門市",1
PO-MS-0010,"微星 MAG A750GL PCIE5 電源供應","大雅門市",1
SD-MS-0003,"微星 M450 500G M2 GEN4 SSD","大雅門市",3
SD-MS-0013,"微星 SPATIUM S270 240G 硬碟","大雅門市",2
VG-MS-0110,"微星 RTX 5060 8G VENTUS 2X OC","大雅門市",2
KB-MS-0011,"微星 VIGOR GK30 COMBO 鍵鼠 黑","業務部",1
LC-MS-0041,"微星 PRO MP251 25吋螢幕","業務部",1
LC-MS-0066,"微星 PRO MP273 E14A 27吋螢幕","業務部",1
MB-MS-0029,"微星 A520M-A PRO 主機板","業務部",1
MB-MS-0082,"微星 PRO B860M-B 主機板","業務部",1
PO-MS-0002,"微星 MAG A550BN 電源供應器","業務部",1
CA-MS-0019,"微星 MAG PANO M100R PZ 機殼 白","潭子門市",1
CA-MS-0033,"微星 PRO FORGE M050A 機殼","潭子門市",2
CA-MS-0034,"微星 MAG FORGE M100R 白 機殼","潭子門市",1
KB-MS-0011,"微星 VIGOR GK30 COMBO 鍵鼠 黑","潭子門市",1
LC-MS-0041,"微星 PRO MP251 25吋螢幕","潭子門市",1
MB-MS-0017,"微星 PRO B760M-A WIFI D5 主板","潭子門市",1
MB-MS-0029,"微星 A520M-A PRO 主機板","潭子門市",1
MB-MS-0045,"微星 B850 GAMING PLUS WIFI主板","潭子門市",1
MB-MS-0073,"微星 B650 GAMING PLUS WIFI 主","潭子門市",1
PO-MS-0002,"微星 MAG A550BN 電源供應器","潭子門市",13
PO-MS-0008,"微星MAG A850GL PCIE5電源供應器","潭子門市",6
SD-MS-0003,"微星 M450 500G M2 GEN4 SSD","潭子門市",1
SD-MS-0013,"微星 SPATIUM S270 240G 硬碟","潭子門市",2
VG-MS-0090,"微星 RTX5070TI 16G VENTUS 3XOC","潭子門市",1
VG-MS-0098,"微星 RTX5070 12G VENTUS 2X OC","潭子門市",1
VG-MS-0114,"微星 RTX5060 8G VENTUS 2X OC白","潭子門市",1
MB-MS-0029,"微星 A520M-A PRO 主機板","總公司倉庫",5
MB-MS-0037,"微星 B650M GAMING PLUS WIFI D5","總公司倉庫",1
MB-MS-0044,"微星 X870 GAMING PLUS WIFI主板","總公司倉庫",4
MB-MS-0066,"微星 MAG B850M MORTAR WIFI 主","總公司倉庫",1
MB-MS-0078,"微星 B860 GAMING PLUS WIFI","總公司倉庫",2
SD-MS-0003,"微星 M450 500G M2 GEN4 SSD","總公司倉庫",1
CA-MS-0032,"微星 PRO SHIELD M100P 機殼","豐原門市",9
CA-MS-0033,"微星 PRO FORGE M050A 機殼","豐原門市",1
CO-MS-0029,"微星 MAG COREFROZA AA13 黑","豐原門市",7
LC-MS-0061,"微星 PRO MP251 E2 25吋螢幕 白","豐原門市",1
LC-MS-0068,"微星 PRO MP242 E14A 24吋螢幕","豐原門市",3
MB-MS-0018,"微星 PRO H610M-E DDR4 主板","豐原門市",1
MB-MS-0037,"微星 B650M GAMING PLUS WIFI D5","豐原門市",2
MB-MS-0066,"微星 MAG B850M MORTAR WIFI 主","豐原門市",1
MP-MS-0004,"微星 CLUTCH GM08 電競滑鼠","豐原門市",1
MP-MS-0006,"微星 VERSA 300 WIRELESS 滑鼠","豐原門市",3
MP-MS-0007,"微星 AGILITY GD21 電競滑鼠墊","豐原門市",1
NB-MS-0024,"微星 PULSE 17 AI C1VGKG-022TW","豐原門市",1
PO-MS-0002,"微星 MAG A550BN 電源供應器","豐原門市",23
PO-MS-0008,"微星MAG A850GL PCIE5電源供應器","豐原門市",3
PO-MS-0010,"微星 MAG A750GL PCIE5 電源供應","豐原門市",2
SD-MS-0003,"微星 M450 500G M2 GEN4 SSD","豐原門市",2
SD-MS-0013,"微星 SPATIUM S270 240G 硬碟","豐原門市",1
VG-MS-0114,"微星 RTX5060 8G VENTUS 2X OC白","豐原門市",1
WA-MS-0001,"微星 ROAMII BE LITE MES 路由器","豐原門市",1
